show_id,titulo,tipo,plataforma,director,elenco,pais,fecha_agregado,anio_lanzamiento,clasificacion,duracion,genero,descripcion,puntaje
prime_s2134,Ice Princess Lily,Movie,Prime Video,Sven Unterwaldt,"Mackenzie Ziegler, Kristin Fairlie, Benedict Campbell, Kevin Dennis, Dan Petronijevic",,,2019,PG,89.0,Animation,"Lily, a fearless Ice Princess teams up with a young dragon named Tabaluga. Together they must stop an evil snowman and an army of polar bears from freezing over the entire world. Lily must inspire Tabaluga to unlock his potential and discover the fire that has always been within him",
prime_s6441,Under The Smoky Roof,Movie,Prime Video,Pouran Derakhshandeh,"Farhad Aslani, Merila Zare'i, Behnoosh Tabatabaei, Sahar Khazaeli, Laleh Marzban, Azita Hajian, Hesam Navab Safavi, Shahram Haghighat Doost, Nafiseh Roshan",,,2017,13+,111.0,Drama,"One day you look and see it seems nobody sees you, even your spouse! Look well, maybe ... The first one who didn't see you were you, yourself, under this smoky roof",
disney_tm989783,Chip 'n Dale: Rescue Rangers,Movie,Disney+,Akiva Schaffer,"Andy Samberg, John Mulaney, KiKi Layne, Will Arnett",US,2022-01-01,2022,PG,97.0,animation,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",7.0
prime_s568,The Legend Of Ben Hall,Movie,Prime Video,Matthew Holmes,,,,2017,,140.0,Action,"After two years on the run, bushranger Ben Hall considers surrendering to the law when his old friend John Gilbert entices him back into the game. Taking on fresh recruit John Dunn, the gang rides again, and before long they become the most wanted men in the country. When they are declared outlaws, the three decide to flee forever.",
disney_tm924794,India's Wild Leopards,Movie,Disney+,,"Sandesh Kadur, Mike New, Priya Singh",IN,2020-01-01,2020,,44.0,documentation,"India may be the land of the Tiger, but it is also home to masters of stealth that prowl the deepest of jungles and the highest of mountains. Journey to Ladakh in the Himalaya in search of Snow Leopards - the ghost of the mountains. Then venture into the realm of the smallest of big cats - the Clouded Leopard in the jungles of north east India. Wildlife Cameraman and National Geographic Fellow, Sandesh Kadur is on a mission to uncover their secretive lives.",
prime_s1403,OUT On Stage (The Series),TV Show,Prime Video,,"Zach Noe Towers, Brendan Scannell, Jared Goldstein, Raneir Pollard, Kyle Shire, Jonathan Rowell, Gloria Bigelow, Anthony Desamito, A.B. Cassidy, Jordan Pease, Chris Bryant, Joe Dosch, Casey Ley, Julian Michael, Irene Tu, Janine Brito, Eric Hahn, Daniel Webb",,,2018,18+,1.0,TV Shows,"OUT On Stage is THE absolutely hilarious and one of a kind, originally produced comedy hosted by Zach Noe Towers! See OUT Magazine's '1 of the 10 comedians to watch in 2018,' the comedian that Sarah Silverman calls, 'So, SO, SO Funny' and 17 other top rated Gay and Lesbian stand-up comedians discuss taboo subjects as only they can!",
netflix_s1996,The Devil All The Time,Movie,Netflix,Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",United States,2020-09-16,2020,R,139.0,Dramas,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,
prime_s4693,Manchester by the Sea,Movie,Prime Video,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, Gretchen Mol, Matthew Broderick",United States,,2016,R,137.0,Drama,Casey Affleck leads an all-star cast in this acclaimed and poignant film about a solitary janitor whose life is transformed after he becomes the guardian of his 16-year-old nephew.,
prime_s2190,Hope Lost,Movie,Prime Video,David Petrucci,"Michael Madsen, Danny Trejo, Francesca Agostini",,,2016,,95.0,Drama,"A young girl, bored with her small-town, dreams of a more glamorous life. At a club, she meets Gabriel, who claims to be a TV producer and wants to cast her in a reality TV show in Italy. When she arrives, she realizes this is a ruse when she is sold to a pimp. Things take an even darker turn with the arrival of Ettore, a sadist who intends to torture her and another young woman in a snuff movie.",
netflix_s5585,Nila,Movie,Netflix,Selvamani Selvaraj,"Sruthi Hariharan, Vicky R",India,2017-03-01,2016,TV-MA,94.0,Dramas,"When a cabbie chances upon his childhood sweetheart, he tries to rekindle old feelings but finds that mature love is a more complicated matter.",
